Part_No	Part_Type	Part_Category	Description	Manufacturer	Cylinders	Liters	CCs	Stroke	Rod	Main	Front_Seal_Dia	Rear_Seal_Dia	Bore	Connect_Rod_Len	Camshaft	Valves	Casting_No	Trans_Speed	Trans_Type	Notes	Application_Start_Yr	Application_End_Yr	Metal	KB_Product_Code	On_Hand	Price
CKDC66A	Engine Part	Crankshaft	"""923+ *O16 400 CID +172,877"""	"Dodge, Chrysler"		6.6L														C					Call for inventory	40
CKDC66S	Engine Part	Crankshaft	159 *O16 383/400 CID	"Dodge, Chrysler"		6.6L														C					Call for inventory	75
CKDC68A	Engine Part	Crankshaft	436 *O16 413 CID 8 BOLT	"Dodge, Chrysler"		6.8L														C					Call for inventory	50
CKDC72A	Engine Part	Crankshaft	160 *O16 413/426/440 6 BOLT S	"Dodge, Chrysler"		6.8L														C					Call for inventory	125
CKDC72B	Engine Part	Crankshaft	"""888+ *O16 440 CID CAST +440,17"""	"Dodge, Chrysler"		7.2L														C					Call for inventory	75
CKDC80A	Engine Part	Crankshaft	840+ *O20 CHRYSLER V-10	"Dodge, Chrysler"		8.0L														FI					Call for inventory	150
CKDC83AA	Engine Part	Crankshaft	*O20 RAM SRT-10 V10	"Dodge, Chrysler"		8.3L														FI					Call for inventory	250
CKFO16AA	Engine Part	Crankshaft	771M *S08 1.6L PINTO	Ford		1.6L														CARB					Call for inventory	25
CKFO16BA	Engine Part	Crankshaft	"""E1EE+*S08 1/4"""" PUMP DRIVE"""	Ford		1.6L														C					Call for inventory	25
CKFO16BB	Engine Part	Crankshaft	"""E3EE+*S08 7/16"""" PUMP DRIVE"""	Ford		1.6L																			Call for inventory	25
CKFO19AA	Engine Part	Crankshaft	"""E5EE *SO8 1.886"""" ROD JOURNAL"""	Ford		1.9L														C					Call for inventory	25
CKFO19AB	Engine Part	Crankshaft	"""E7EE+*S08 1.727"""" ROD JOURNAL"""	Ford		1.9L														FI					Call for inventory	25
CKFO20A	Engine Part	Crankshaft	70HM *S08 PINTO	Ford		2.0L														C					Call for inventory	25
CKFO20C	Engine Part	Crankshaft	938M *D16 CONTOUR 938MR67	Ford		2.0L														FI					Call for inventory	75
CKFO20D	Engine Part	Crankshaft	"""F7CE *S08 R=1.728"""" M=2.2827"""""""	Ford		2.0L														FI					Call for inventory	25
CKFO20FA	Engine Part	Crankshaft	1S7G *D16 DURATEC 4 CWT	Ford		2.0L														FI					Call for inventory	75
CKFO23AA	Engine Part	Crankshaft	"""1D+ *S08 2PC.,2.0/2.3L PINTO"""	Ford		2.0L																			Call for inventory	25
CKFO23AB	Engine Part	Crankshaft	"""E2ZE+*S08 1PC.,LRG.MAINS+2.0L"""	Ford		2.3L														FI					Call for inventory	40
CKFO23AC	Engine Part	Crankshaft	"""E88E+*S08 SML MAINS,2.3L 8PLUG"""	Ford		2.3L														FI					Call for inventory	40
CKFO23BA	Engine Part	Crankshaft	"""E43E *O08 TEMPO,2.3L HSC I4"""	Ford		2.3L																			Call for inventory	25
CKFO23CA	Engine Part	Crankshaft	1L5G *D16 DURATEC W/OUT BAL.GE	Ford		2.3L														FI					Call for inventory	75
CKFO23CB	Engine Part	Crankshaft	3L5G *D16 DURATEC W/BAL.GEAR	Ford		2.3L														FI					Call for inventory	75
CKFO25A	Engine Part	Crankshaft	E63E *O08 HSC 2.5L I4	Ford		2.5L														FI					Call for inventory	25
CKFO25BA	Engine Part	Crankshaft	"""F5DE+*D24 +F7DE,+++,DURATEC,V6"""	Ford		2.5L														FI					Call for inventory	75
CKFO25CA	Engine Part	Crankshaft	F87E *S08 RANGER -AC	Ford		2.5L														EFI					Call for inventory	125
CKFO28A	Engine Part	Crankshaft	82TM+*O12 FOV6 +74/76/78TM	Ford		2.8L														C					Call for inventory	25
CKFO29A	Engine Part	Crankshaft	"""86TM+*O12 V6 +88TM,89TM"""	Ford		2.9L														C					Call for inventory	35
